File Name,filetype,camera,film stock,location
big-bear-scars,.webp,Leica M3,Portra 400,"Big Bear, CA"
flowerprint,.webp,Pentax 67,Pan F 50,"Encinitas, CA"
hoco-moon,.webp,Canon R6,Digital,"Dana Point, CA"
laguna-sunset,.webp,Canon Rebel XS,Fuji 200,"Laguna Beach, CA"
MamiyaRB67Pan400_7,.webp,Pentax 67,Kentmere 400,"San Diego, CA"
MamiyaRB67Portra400_3_Original,.webp,Mamiya RB67,Portra 400,"Wrightwood, CA"
netherlands,.webp,Canon Rebel 2000,Ektachrome 100,"Kinderdijk, NL"
newport-boat,.webp,Canon AE-1,Portra 400,"Newport Beach, CA"
newport-shoreline,.webp,Canon AE-1,Portra 400,"Newport Beach, CA"
RB67Kentmere400_1,.webp,Mamiya RB67,Kentmere 400,"Laguna Beach, CA"
RB67Pan400SprocketShots-LA+Newport,.webp,Mamiya RB67,Kentmere 400,"Los Angeles, CA"
rb67portra800scans--6,.webp,Mamiya RB67,Portra 800,"Irvine, CA"
RB67Wolfman100_2,.webp,Mamiya RB68,Wolfman 100,"San Diego, CA"
RB67_Delta400_11,.webp,Mamiya RB69,Delta 400,"Newport Beach, CA"
RB67_Portra400_1-Edit-2,.webp,Mamiya RB70,Portra 400,"Salt Lake City, UT"
RB67_Portra400_6-Edit,.webp,Mamiya RB71,Portra 400,"Salt Lake City, UT"
rowing-RB67_Delta400_17,.webp,Mamiya RB72,Delta 400,"Newport Beach, CA"
shadycanyon,.webp,Pentax 67,Lucky 1023,"Irvine, CA"